"GPS","Date","n.x","n.y","nDiff","meanLat.x","meanLat.y","meanLatDiff","sdLat.x","sdLat.y","sdLatDiff","meanLong.x","meanLong.y","meanLongDiff","sdLong.x","sdLong.y","sdLongDiff","meanDist.x","meanDist.y","meanDistDiff","sdDist.x","sdDist.y","sdDistDiff","meanCourse.x","meanCourse.y","meanCourseDiff","sdCourse.x","sdCourse.y","sdCourseDiff","meanRate.x","meanRate.y","meanRateDiff","sdRate.x","sdRate.y","sdRateDiff","meanElev.x","meanElev.y","meanElevDiff","sdElev.x","sdElev.y","sdElevDiff"
79,2018-03-05,71,101,-30,32.0574022816901,32.0567002574257,0.00070202426439181,0.00102176655403528,0.0012812973710537,-0.000259530817018429,-109.350808676056,-109.35126570297,0.000457026913963432,0.00152208536248908,0.00143002924127076,9.20561212183139e-05,63.0508714652958,36.0392585346535,27.0116129306423,74.6441925047493,38.3509123907291,36.2932801140201,175.577464788732,180.435643564356,-4.85817877562405,105.011109884598,100.80262058514,4.20848929945829,4.27464788732394,2.75928733814765,1.51536054917629,5.82695015325609,3.16484888486141,2.66210126839468,1827.53061901648,1861.9504950495,-34.4198760330262,32.1868572548471,64.9474212325052,-32.7605639776581
79,2018-03-06,92,64,28,32.056253673913,32.056491296875,-0.000237622961961392,0.000916124087145938,0.00115283353717498,-0.00023670945002904,-109.350569130435,-109.3493023125,-0.00126681793477701,0.00164789251501431,0.00115077738907465,0.000497115125939661,34.3838341318587,52.58305215625,-18.1992180243913,56.3619343198069,74.7832163263507,-18.4212820065438,191.945652173913,185.171875,6.77377717391303,99.6661861526132,101.648250429981,-1.98206427736805,2.375,2.85831917063728,-0.483319170637277,3.80928954178949,4.66914762511809,-0.859858083328596,1827.28001735533,1879.796875,-52.516857644674,49.6491526074242,28.9625810519449,20.6865715554793
79,2018-03-07,72,68,4,32.0525946388889,32.0522046323529,0.00039000653595167,0.00153949896098054,0.00125059309994248,0.000288905861038061,-109.346222430556,-109.345643764706,-0.000578665849673143,0.00191599334606155,0.00128769684619173,0.000628296499869818,61.8387359032917,54.5628767205882,7.27585918270343,81.0802579799548,61.3195859951072,19.7606719848476,172.916666666667,168.220588235294,4.69607843137254,110.807884755299,110.747102733335,0.0607820219639166,4.02916666666667,3.84001649336798,0.189150173298688,3.96112935595997,3.15845265121566,0.802676704744314,1845.11814541306,1908.70588235294,-63.5877369398856,39.5280089618642,37.835487891475,1.69252107038914
79,2018-03-08,81,80,1,32.0514984444444,32.05105235,0.000446094444441769,0.0013103507164115,0.00147008858856485,-0.000159737872153342,-109.345427740741,-109.3450137125,-0.000414028240740549,0.00124648237831192,0.00182660400947606,-0.000580121631164132,66.3623670831975,72.34217815,-5.97981106680247,79.5506037634213,118.843433681189,-39.292829917768,160.666666666667,165.4625,-4.79583333333335,104.870634593293,103.246778691282,1.62385590201099,4.50987654320988,4.43198375284495,0.0778927903649302,5.21556816028397,5.37570662717785,-0.160138466893881,1869.56690206605,1925.5875,-56.0205979339507,38.0158734816041,53.4573516868081,-15.4414782052041
79,2018-03-09,61,71,-10,32.0494756393443,32.0494143661972,6.12731470823746e-05,0.000762716308833221,0.000617986158870413,0.000144730149962808,-109.342845409836,-109.342948549296,0.000103139459710633,0.00194581587324377,0.00142384479279323,0.000521971080450542,76.7641396403607,52.9966098450704,23.7675297952902,124.155031146932,60.1850792941374,63.9699518527947,177.44262295082,178.647887323944,-1.20526437312398,106.697785761181,113.939469969372,-7.24168420819132,4.30983606557377,3.82328409746494,0.486551968108833,4.89611086877577,4.55797072865927,0.338140140116502,1929.75713010754,2016.57746478873,-86.8203346811915,16.9348227603982,39.618055758105,-22.6832329977068
79,2018-03-10,76,59,17,32.0484839868421,32.0483963220339,8.76648082126508e-05,0.00132552200025399,0.00115714977483597,0.000168372225418024,-109.342943065789,-109.342151661017,-0.000791404772527926,0.00161815619629817,0.00253776779874716,-0.000919611602448991,79.4520342447368,71.752480559322,7.6995536854148,153.479757318554,104.934761521565,48.5449957969892,170.513157894737,166.35593220339,4.15722569134701,110.999638848788,105.714606486271,5.28503236251755,5.05394736842105,3.61480129047062,1.43914607795043,10.335923642513,4.98780031752468,5.34812332498835,1947.81200850618,2017.54237288136,-69.7303643751718,27.1364910745919,17.2330096575892,9.90348141700269
79,2018-03-11,72,68,4,32.048653375,32.0484706911765,0.000182683823531704,0.000487433330580335,0.000578662024868961,-9.12286942886263e-05,-109.341501,-109.341217132353,-0.000283867647056013,0.00216901121108301,0.00213657174767617,3.24394634068394e-05,48.0587521597917,37.0854485147059,10.9733036450858,90.4699241268196,45.5609694753609,44.9089546514588,182.986111111111,182.132352941176,0.85375816993465,97.3286132610109,95.0434157528186,2.2851975081923,2.76666666666667,2.24260397561209,0.524062691054572,4.39878344257226,2.28038152855857,2.11840191401369,1958.80165778319,2021.36764705882,-62.5659892756289,22.5033553634325,11.0870428768978,11.4163124865347
79,2018-03-12,68,65,3,32.0459436764706,32.0454505538462,0.000493122624433795,0.00140435935828388,0.000742141117619122,0.000662218240664753,-109.335230485294,-109.334540892308,-0.000689592986432785,0.00120581263231826,0.00102025210002002,0.000185560532298244,59.0307118458235,54.2486883538462,4.78202349197738,72.5167002207496,69.1373611211722,3.37933909957734,169.75,179.076923076923,-9.32692307692307,109.134502116603,105.847665847597,3.28683626900565,3.21911764705882,3.00050892306049,0.218608723998337,3.78773580037141,3.79481905725551,-0.00708325688409506,1996.47759291706,2046.49230769231,-50.0147147752489,26.5823385000494,24.0287087908162,2.55362970923326
79,2018-03-13,51,45,6,32.045838,32.0459953333333,-0.000157333333334009,0.0007305451389198,0.000861682550700586,-0.000131137411780786,-109.333037607843,-109.332851711111,-0.000185896732034507,0.000792833755043989,0.00114516528426367,-0.000352331529219684,58.028209395,72.8915609111111,-14.8633515161111,57.1054872556592,93.6248126797259,-36.5193254240666,175.274509803922,153.355555555556,21.918954248366,92.9843166198198,96.1604141657327,-3.17609754591292,4.03725490196078,2.42710196211439,1.61015293984639,10.0943937070894,1.88006509980145,8.21432860728792,2013.48870490529,2080.4,-66.911295094706,21.2350155087452,23.4621552137208,-2.2271397049756
79,2018-03-14,41,51,-10,32.047005804878,32.0470329803922,-2.71755141127983e-05,0.00101440369724052,0.000714940570682264,0.000299463126558259,-109.332448292683,-109.33280345098,0.000355158297466573,0.0025432001026658,0.00140591939048787,0.00113728071217793,128.480475994073,81.9742538627451,46.5062221313281,252.425969041797,155.855901293236,96.5700677485614,170.512195121951,190.254901960784,-19.7427068388331,104.334108025904,104.420274494421,-0.0861664685169927,5.27317073170732,3.17856540301322,2.0946053286941,11.3597320476815,4.32552298750308,7.03420906017841,2062.23505382951,2071.17647058824,-8.94141675872288,45.2388413772678,29.4623189055803,15.7765224716875
