"","Index","Date","Time","Latitude","Longitude","Altitude","Speed","Course","Distance","Type","Timeout","MSVs_QCN","Weight.Criteria","SleepTime","EHPE","Satelite.ID","Satelite"
"1",1666," 2017/12/12"," 00:55:03",43.600395,-116.204964,813.839966,216,230,2.767324," 00(00000001)",61," CB"," 3C",0,1056,106987876,"  -----XX- -XX----- X------X -XX--X--"
"2",1667," 2017/12/12"," 01:05:32",43.600353,-116.205093,824.669983,0,213,11.438794," 00(00000001)",9," CB"," 3C",0,672,106987876,"  -----XX- -XX----- X------X -XX--X--"
"3",1668," 2017/12/12"," 12:58:39",43.621262,-116.210335,820.169983,39528,32,2362.888982," 00(00000001)",130," C9"," 3A",0,1968,270008336,"  ---X---- ---XX--- -------- ---X----"
"4",1669," 2017/12/12"," 13:13:37",43.618813,-116.211777,810.799988,0,124,296.02613," 00(00000001)",15," A9"," 3C",0,928,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"5",1670," 2017/12/12"," 14:09:46",43.596436,-116.467125,779.219971,107856,278,20709.128336," 00(00000001)",20," C9"," 3C",0,1360,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"6",1671," 2017/12/12"," 14:20:08",43.605114,-116.63118,776.570007,76716,267,13245.420326," 00(00000001)",23," CA"," 3C",0,2432,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"7",1672," 2017/12/12"," 14:31:28",43.56356,-116.792412,689.079956,98784,178,13783.958229," 00(00000001)",20," CB"," 3C",0,2176,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"8",1673," 2017/12/12"," 14:40:37",43.545746,-116.852127,627.969971,3708,241,5203.915106," 00(00000001)",13," C9"," 3C",0,4656,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"9",1674," 2017/12/12"," 14:45:45",43.504013,-116.857857,736.609985,116280,195,4663.41106," 00(00000001)",11," C8"," 3C",0,3408,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"10",1675," 2017/12/12"," 14:51:03",43.420559,-116.857147,1064.359985,92448,187,9279.852786," 00(00000001)",20," CA"," 3C",0,3168,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"11",1676," 2017/12/12"," 14:58:32",43.340088,-116.954285,1382.829956,100260,214,11903.581312," 00(00000001)",20," C9"," 3C",0,1984,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"12",1677," 2017/12/12"," 15:04:11",43.337364,-116.997643,1190.869995,68220,321,3519.537609," 00(00000001)",21," CA"," 3C",0,2304,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"13",1678," 2017/12/12"," 15:10:10",43.328804,-117.072021,1164.72998,62892,308,6090.651936," 00(00000001)",20," C9"," 3C",0,2144,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"14",1679," 2017/12/12"," 15:16:28",43.326229,-117.10495,1143.199951,0,93,2678.862827," 00(00000001)",21," C2"," 3C",0,3680,270012432,"  ---X---- ---XX--- ---X---- ---X----"
"15",1680," 2017/12/12"," 15:23:03",43.326214,-117.104942,1145.819946,0,212,1.805451," -1(00000005)",46," C7"," 3E",0,8336,269619200,"  ---X---- ---X--X- ---X---- --------"
