"","Index","Date","Time","Latitude","Longitude","Altitude","Speed","Course","Distance","Type","Timeout","MSVs_QCN","Weight.Criteria","SleepTime","EHPE","Satelite.ID","Satelite"
"1",943," 2017/12/12"," 00:53:07",43.600845,-116.204887,817.209961,0,298,27.401146," 00(00000001)",20," C7"," 3C",0,1744,104890692,"  -----XX- -X------ X------X -X---X--"
"2",944," 2017/12/12"," 00:58:06",43.600807,-116.204948,821.380005,0,11,6.492082," 00(00000001)",18," C8"," 3C",0,960,104890692,"  -----XX- -X------ X------X -X---X--"
"3",945," 2017/12/12"," 12:55:43",43.611748,-116.205391,885.409973,17028,105,1217.055467," 00(00000001)",21," C9"," 3C",0,3088,1124075536,"  -X----XX -------- ----X--- ---X----"
"4",946," 2017/12/12"," 13:01:01",43.62653,-116.215767,838.699951,51012,313,1843.725324," 00(00000001)",21," A7"," 3C",0,1568,1124075536,"  -X----XX -------- ----X--- ---X----"
"5",947," 2017/12/12"," 13:06:58",43.620747,-116.205406,815.779968,23832,193,1053.092301," 00(00000001)",21," B7"," 3C",0,1504,50337808,"  ------XX -------- ---XX--- ---X----"
"6",948," 2017/12/12"," 13:13:00",43.618706,-116.211723,832.679993,72,97,556.854875," 00(00000001)",22," BA"," 3C",0,848,319838226,"  ---X--XX ---X---- -X-XX--- ---X--X-"
"7",949," 2017/12/12"," 14:00:36",43.609589,-116.270493,830.299988,99432,231,4838.628142," 00(00000001)",9," C9"," 3C",0,768,319836178,"  ---X--XX ---X---- -X-X---- ---X--X-"
"8",950," 2017/12/12"," 14:05:36",43.593533,-116.374161,817.700012,109584,270,8536.374241," 00(00000001)",9," BA"," 3C",0,320,319836178,"  ---X--XX ---X---- -X-X---- ---X--X-"
"9",951," 2017/12/12"," 14:10:40",43.598736,-116.487503,733.219971,110268,278,9145.70592," 00(00000001)",11," B8"," 3C",0,848,319836176,"  ---X--XX ---X---- -X-X---- ---X----"
"10",952," 2017/12/12"," 14:15:45",43.610107,-116.596581,762.73999,90216,316,8873.289356," 00(00000001)",9," B7"," 3C",0,544,318787600,"  ---X--XX -------- -X-X---- ---X----"
"11",953," 2017/12/12"," 14:20:53",43.604717,-116.6436,730.72998,81648,268,3832.930961," 00(00000001)",11," C9"," 3C",0,752,319836176,"  ---X--XX ---X---- -X-X---- ---X----"
