"elev","alt","x","y"
1149.70197069415,1150.900024,491491.774173973,4797073.78616116
1150.72982327485,1184.789917,491488.025012725,4797058.1321408
1149.97875755039,1109.48999,491495.417270714,4797069.56149954
1151.70655626482,1070.73999,491504.724934605,4797056.7785065
1150.87238770052,1062.799927,491507.168908535,4797066.10404702
1150.69945172112,1056.469971,491507.193428037,4797085.64966916
1150.72982327485,1137.949951,491488.023895695,4797057.24370345
1144.28753218435,1148.73999,491078.081689048,4797655.1359192
1144.29016582876,1150.359985,491072.4907416,4797657.25333531
1144.29016582876,1150.309937,491078.087251529,4797659.35600063
1144.29016582876,1145.130005,491081.166245137,4797658.13033827
1144.29016582876,1152.169922,491081.816988106,4797659.79530536
1159,1169.559937,490887.068737598,4797704.14352434
1148.95250362311,1157.73999,490910.3958399,4798051.04802116
1147.68176311329,1154.72998,490855.021489578,4798285.33775454
1147,1150.27002,490851.96639149,4798303.99913871
1147.68176311329,1158.939941,490852.586206653,4798282.7867788
1147.68176311329,1152.780029,490859.396534287,4798283.66601756
1154,1162.030029,490927.815768209,4798165.41135294
1154.87366532478,1157.530029,490945.797368447,4798154.72598635
1154.56960294589,1172.419922,490941.426827114,4798159.84036771
1154.24730210424,1168.73999,490941.413300265,4798149.73437528
1154.56960294589,1161.669922,490938.348235935,4798161.17714985
1154.56960294589,1161.449951,490935.910708966,4798156.96032168
1147.9392794208,1156.539917,490876.099748493,4798287.0861853
1147.54766219597,1150.209961,490877.3286877,4798296.7463212
1143.33905338333,1160.469971,490813.788505966,4798424.76775218
1143.33905338333,1149.97998,490815.647746273,4798420.9893547
1142.06658691963,1142.51001,490820.583782387,4798414.65251591
1149.63892240391,1151.880005,490840.11517381,4798232.05147388
1151.94493603,1155.789917,490861.702550778,4798190.48769192
1148.88611830395,1153.559937,490887.562010292,4798070.5133596
1150.11577210505,1157.959961,490870.073282166,4797965.92308143
1157.64624601744,1159.52002,490853.055606724,4797730.39838019
1160,1169.630005,490851.689646792,4797619.45630037
1163.23168258876,1165.160034,490853.162128108,4797329.26773763
1162.07635590522,1163.049927,490854.13951155,4797152.57806394
1157.06817590912,1157.609985,490874.431538434,4797049.60280758
1157.06278712832,1160.819946,490867.550911756,4796997.52735363
1157.22446809859,1170.880005,490858.79326298,4796936.45900175
1154.03277572874,1171.160034,490824.47627182,4796741.27102261
1158.00000517424,1174.660034,490685.055394815,4796531.7899232
1160,1166.52002,490645.081953514,4796297.07524928
1160.0592943517,1162.51001,490644.850753768,4796129.71608443
1161,1157.069946,490941.720025019,4796076.45044709
1161,1159.539917,490626.876151051,4796090.42756937
1160,1166.569946,490650.035794956,4796302.62114491
1158.0014509321,1173,490750.710292211,4796634.6477156
1156.05739848603,1153.97998,490869.345276567,4796945.32915084
1163.01223593859,1167.76001,490855.508343364,4797265.6301019
1159.69343314114,1158.569946,490841.853022036,4797659.22728308
1150.44163657181,1145.699951,490907.269908502,4798017.18043253
1153.29784140988,1162.25,490922.265387853,4798136.9886999
1154,1159.709961,490923.512011425,4798159.86437039
1154,1170.699951,490929.658027406,4798148.86167939
1154.24645701189,1163.199951,490948.202658002,4798134.84391332
1154.24645701189,1170.559937,490945.125688538,4798137.40229575
1154.24645701189,1167.829956,490950.068884763,4798136.17407821
1152.85252511609,1162.150024,490883.540347628,4797853.18408242
1159,1169.280029,490863.542386069,4797691.84813638
1158.87723769975,1164.27002,490812.113540634,4797668.59620429
1159.88893384157,1157.910034,490766.844676113,4797585.25551616
1159.72872662492,1157.849976,490757.579564326,4797568.27675046
1160.73740350149,1168,490749.507991885,4797534.8602321
1160.98202887283,1163.22998,490740.809651921,4797517.43649603
1165,1172.030029,490782.142618116,4797448.41496005
1161.08827407175,1156.309937,490883.932593903,4797241.49285122
1162.08838506984,1147.910034,490873.415345301,4797258.05420285
1161,1159.679932,490891.967986165,4797248.2563846
1161,1173.689941,490892.609103397,4797242.70277688
1160.21564310891,1176.799927,490898.762179086,4797236.36437237
1161,1161.349976,490891.411828416,4797256.69730566
1161.08961935893,1146.780029,490887.695011974,4797266.03091983
1161,1165.079956,490898.14554374,4797260.13095081
